,    #0 , 1.000000 , 1.000000 , 0.106406 , 0.000000 , 30.000000 ,          Fixed ,
,    #1 , 1.000000 , 1.000000 , 0.096075 , 0.000000 , 30.000000 , Gaussian Prior ,
,    #2 , 1.000000 , 1.000000 , 0.071407 , 0.000000 , 30.000000 ,          Fixed ,
,    #3 , 1.000000 , 1.000000 , 0.058259 , 0.000000 , 30.000000 , Gaussian Prior ,
,    #4 , 1.000000 , 1.000000 , 0.052568 , 0.000000 , 30.000000 , Gaussian Prior ,
,    #5 , 1.000000 , 1.000000 , 0.048977 , 0.000000 , 30.000000 , Gaussian Prior ,
,    #6 , 1.000000 , 1.000000 , 0.048375 , 0.000000 , 30.000000 , Gaussian Prior ,
,    #7 , 1.000000 , 1.000000 , 0.046979 , 0.000000 , 30.000000 , Gaussian Prior ,
,    #8 , 1.000000 , 1.000000 , 0.050087 , 0.000000 , 30.000000 , Gaussian Prior ,
,    #9 , 1.000000 , 1.000000 , 0.052478 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #10 , 1.000000 , 1.000000 , 0.049384 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #11 , 1.000000 , 1.000000 , 0.062742 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #12 , 1.000000 , 1.000000 , 0.111406 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #13 , 1.000000 , 1.000000 , 0.187098 , 0.000000 , 30.000000 ,          Fixed ,
,   #14 , 1.000000 , 1.000000 , 0.139593 , 0.000000 , 30.000000 ,          Fixed ,
,   #15 , 1.000000 , 1.000000 , 0.117350 , 0.000000 , 30.000000 ,          Fixed ,
,   #16 , 1.000000 , 1.000000 , 0.089747 , 0.000000 , 30.000000 ,          Fixed ,
,   #17 , 1.000000 , 1.000000 , 0.070394 , 0.000000 , 30.000000 ,          Fixed ,
,   #18 , 1.000000 , 1.000000 , 0.064196 , 0.000000 , 30.000000 ,          Fixed ,
,   #19 , 1.000000 , 1.000000 , 0.059300 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #20 , 1.000000 , 1.000000 , 0.055499 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #21 , 1.000000 , 1.000000 , 0.053669 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #22 , 1.000000 , 1.000000 , 0.057540 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #23 , 1.000000 , 1.000000 , 0.056054 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #24 , 1.000000 , 1.000000 , 0.064530 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #25 , 1.000000 , 1.000000 , 0.056647 , 0.000000 , 30.000000 ,          Fixed ,
,   #26 , 1.000000 , 1.000000 , 0.088763 , 0.000000 , 30.000000 ,          Fixed ,
,   #27 , 1.000000 , 1.000000 , 0.241617 , 0.000000 , 30.000000 ,          Fixed ,
,   #28 , 1.000000 , 1.000000 , 0.144816 , 0.000000 , 30.000000 ,          Fixed ,
,   #29 , 1.000000 , 1.000000 , 0.117661 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #30 , 1.000000 , 1.000000 , 0.104374 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #31 , 1.000000 , 1.000000 , 0.097641 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #32 , 1.000000 , 1.000000 , 0.089674 , 0.000000 , 30.000000 ,          Fixed ,
,   #33 , 1.000000 , 1.000000 , 0.070050 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #34 , 1.000000 , 1.000000 , 0.054157 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #35 , 1.000000 , 1.000000 , 0.055585 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #36 , 1.000000 , 1.000000 , 0.058539 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #37 , 1.000000 , 1.000000 , 0.064276 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #38 , 1.000000 , 1.000000 , 0.064177 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #39 , 1.000000 , 1.000000 , 0.068330 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #40 , 1.000000 , 1.000000 , 0.085181 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #41 , 1.000000 , 1.000000 , 0.202422 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #42 , 1.000000 , 1.000000 , 0.240012 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #43 , 1.000000 , 1.000000 , 0.162417 , 0.000000 , 30.000000 ,          Fixed ,
,   #44 , 1.000000 , 1.000000 , 0.128379 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #45 , 1.000000 , 1.000000 , 0.106045 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #46 , 1.000000 , 1.000000 , 0.087612 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #47 , 1.000000 , 1.000000 , 0.073013 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #48 , 1.000000 , 1.000000 , 0.062558 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #49 , 1.000000 , 1.000000 , 0.053719 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #50 , 1.000000 , 1.000000 , 0.056088 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #51 , 1.000000 , 1.000000 , 0.057935 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #52 , 1.000000 , 1.000000 , 0.058961 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #53 , 1.000000 , 1.000000 , 0.060277 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #54 , 1.000000 , 1.000000 , 0.061807 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #55 , 1.000000 , 1.000000 , 0.067243 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #56 , 1.000000 , 1.000000 , 0.138192 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #57 , 1.000000 , 1.000000 , 0.287685 , 0.000000 , 30.000000 , Gaussian Prior ,
,   #58 , 1.000000 , 1.000000 , 0.151552 , 0.000000 , 30.000000 ,          Fixed ,
,   #59 , 1.000000 , 1.000000 , 0.125960 , 0.000000 , 30.000000 ,          Fixed ,
,   #60 , 1.000000 , 1.000000 , 0.088859 , 0.000000 , 30.000000 ,          Fixed ,
,   #61 , 1.000000 , 1.000000 , 0.067620 , 0.000000 , 30.000000 ,          Fixed ,
,   #62 , 1.000000 , 1.000000 , 0.061230 , 0.000000 , 30.000000 ,          Fixed ,
,   #63 , 1.000000 , 1.000000 , 0.055239 , 0.000000 , 30.000000 ,          Fixed ,
,   #64 , 1.000000 , 1.000000 , 0.050919 , 0.000000 , 30.000000 ,          Fixed ,
,   #65 , 1.000000 , 1.000000 , 0.047645 , 0.000000 , 30.000000 ,          Fixed ,
,   #66 , 1.000000 , 1.000000 , 0.046115 , 0.000000 , 30.000000 ,          Fixed ,
,   #67 , 1.000000 , 1.000000 , 0.046788 , 0.000000 , 30.000000 ,          Fixed ,
,   #68 , 1.000000 , 1.000000 , 0.050061 , 0.000000 , 30.000000 ,          Fixed ,
